,packet,M1,M2,M3
0,1,6.523240342964466,,
1,2,6.436677542419086,,
2,3,7.388165861169054,7.33372332979282,6.450499560558335
3,4,6.981561225934937,6.96312378147673,6.044593191674629
4,5,7.2032980532718565,7.0279160695677785,6.332403106442159
5,6,7.47929422779716,7.147544747158088,6.257134187687898
6,7,6.51082177199185,6.369310342242409,5.678203032027092
7,8,7.0988505284115915,6.8839442894429155,6.186373575956737
8,9,7.079599939428324,6.77187428679664,6.169708591593421
9,10,6.95833766553748,6.576426383530706,5.979796617529243
10,11,7.0426304575995475,6.793243866515698,6.225015899764274
11,12,6.948831598778272,6.281154063160779,5.889994411328962
